2022-05-18 16:05:687 INFO  NewAndUsedCarSearchPage :52 - Select model[[ChromeDriver: chrome on WINDOWS (7fdd43e1cbdd44129d6efca01341a570)] -> id: models]
2022-05-18 16:05:244 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:84 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:799 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:281 INFO  HomePage :31 - Mouse Hover On Buy And Sell[[ChromeDriver: chrome on WINDOWS (94d4af366558ed7b8b5e656dfc0c7e0c)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 16:05:567 INFO  HomePage :36 - Click on Search Cars[[ChromeDriver: chrome on WINDOWS (94d4af366558ed7b8b5e656dfc0c7e0c)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 16:05:769 INFO  NewAndUsedCarSearchPage :44 - Verify message[[ChromeDriver: chrome on WINDOWS (94d4af366558ed7b8b5e656dfc0c7e0c)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 16:05:811 INFO  NewAndUsedCarSearchPage :48 - Select any Make[[ChromeDriver: chrome on WINDOWS (94d4af366558ed7b8b5e656dfc0c7e0c)] -> id: makes]
2022-05-18 16:05:960 INFO  NewAndUsedCarSearchPage :52 - Select model[[ChromeDriver: chrome on WINDOWS (94d4af366558ed7b8b5e656dfc0c7e0c)] -> id: models]
2022-05-18 16:05:191 INFO  NewAndUsedCarSearchPage :56 - Select address[[ChromeDriver: chrome on WINDOWS (94d4af366558ed7b8b5e656dfc0c7e0c)] -> id: locations]
2022-05-18 16:05:300 INFO  NewAndUsedCarSearchPage :60 - Select price[[ChromeDriver: chrome on WINDOWS (94d4af366558ed7b8b5e656dfc0c7e0c)] -> id: priceTo]
2022-05-18 16:05:421 INFO  NewAndUsedCarSearchPage :64 - Click on find my next car[[ChromeDriver: chrome on WINDOWS (94d4af366558ed7b8b5e656dfc0c7e0c)] -> id: search-submit]
2022-05-18 16:05:43 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:307 INFO  HomePage :31 - Mouse Hover On Buy And Sell[[ChromeDriver: chrome on WINDOWS (45d46c942b40d99bbcd7a1c118487cbe)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 16:05:587 INFO  HomePage :36 - Click on Search Cars[[ChromeDriver: chrome on WINDOWS (45d46c942b40d99bbcd7a1c118487cbe)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 16:05:22 INFO  NewAndUsedCarSearchPage :44 - Verify message[[ChromeDriver: chrome on WINDOWS (45d46c942b40d99bbcd7a1c118487cbe)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 16:05:184 INFO  NewAndUsedCarSearchPage :48 - Select any Make[[ChromeDriver: chrome on WINDOWS (45d46c942b40d99bbcd7a1c118487cbe)] -> id: makes]
2022-05-18 16:05:350 INFO  NewAndUsedCarSearchPage :52 - Select model[[ChromeDriver: chrome on WINDOWS (45d46c942b40d99bbcd7a1c118487cbe)] -> id: models]
2022-05-18 16:05:476 INFO  NewAndUsedCarSearchPage :56 - Select address[[ChromeDriver: chrome on WINDOWS (45d46c942b40d99bbcd7a1c118487cbe)] -> id: locations]
2022-05-18 16:05:612 INFO  NewAndUsedCarSearchPage :60 - Select price[[ChromeDriver: chrome on WINDOWS (45d46c942b40d99bbcd7a1c118487cbe)] -> id: priceTo]
2022-05-18 16:05:757 INFO  NewAndUsedCarSearchPage :64 - Click on find my next car[[ChromeDriver: chrome on WINDOWS (45d46c942b40d99bbcd7a1c118487cbe)] -> id: search-submit]
2022-05-18 16:05:321 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:428 INFO  HomePage :31 - Mouse Hover On Buy And Sell[[ChromeDriver: chrome on WINDOWS (c86ee81504923782531aff0d33ce2096)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 16:05:837 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:867 INFO  HomePage :31 - Mouse Hover On Buy And Sell[[ChromeDriver: chrome on WINDOWS (3a72a893c1dfd23a738c9c7d75aa3bd8)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 16:05:890 INFO  HomePage :36 - Click on Search Cars[[ChromeDriver: chrome on WINDOWS (3a72a893c1dfd23a738c9c7d75aa3bd8)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 16:05:987 INFO  NewAndUsedCarSearchPage :44 - Verify message[[ChromeDriver: chrome on WINDOWS (3a72a893c1dfd23a738c9c7d75aa3bd8)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 16:05:29 INFO  NewAndUsedCarSearchPage :48 - Select any Make[[ChromeDriver: chrome on WINDOWS (3a72a893c1dfd23a738c9c7d75aa3bd8)] -> id: makes]
2022-05-18 16:05:323 INFO  NewAndUsedCarSearchPage :52 - Select model[[ChromeDriver: chrome on WINDOWS (3a72a893c1dfd23a738c9c7d75aa3bd8)] -> id: models]
2022-05-18 16:05:471 INFO  NewAndUsedCarSearchPage :56 - Select address[[ChromeDriver: chrome on WINDOWS (3a72a893c1dfd23a738c9c7d75aa3bd8)] -> id: locations]
2022-05-18 16:05:590 INFO  NewAndUsedCarSearchPage :60 - Select price[[ChromeDriver: chrome on WINDOWS (3a72a893c1dfd23a738c9c7d75aa3bd8)] -> id: priceTo]
2022-05-18 16:05:709 INFO  NewAndUsedCarSearchPage :64 - Click on find my next car[[ChromeDriver: chrome on WINDOWS (3a72a893c1dfd23a738c9c7d75aa3bd8)] -> id: search-submit]
2022-05-18 16:05:937 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:363 INFO  HomePage :31 - Mouse Hover On Buy And Sell[[ChromeDriver: chrome on WINDOWS (c76fe6dc72a69efd863f7c4644b7bd63)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 16:05:708 INFO  HomePage :36 - Click on Search Cars[[ChromeDriver: chrome on WINDOWS (c76fe6dc72a69efd863f7c4644b7bd63)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 16:05:765 INFO  NewAndUsedCarSearchPage :45 - Verify message[[ChromeDriver: chrome on WINDOWS (c76fe6dc72a69efd863f7c4644b7bd63)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 16:05:840 INFO  NewAndUsedCarSearchPage :49 - Select any Make[[ChromeDriver: chrome on WINDOWS (c76fe6dc72a69efd863f7c4644b7bd63)] -> id: makes]
2022-05-18 16:05:90 INFO  NewAndUsedCarSearchPage :53 - Select model[[ChromeDriver: chrome on WINDOWS (c76fe6dc72a69efd863f7c4644b7bd63)] -> id: models]
2022-05-18 16:05:369 INFO  NewAndUsedCarSearchPage :58 - Select address[[ChromeDriver: chrome on WINDOWS (c76fe6dc72a69efd863f7c4644b7bd63)] -> id: locations]
